1000000000 1000000000 100000
421919576 607949085 514227883 607949085
589455207 112578867 589455207 327129695
428069093 133977581 428069093 792051561
194214463 525357776 215384460 525357776
206155589 239184118 206155589 265058485
159047576 573205100 877804206 573205100
173057987 717229061 173057987 960509801
111128238 799338037 111128238 799338084
268761062 313062928 268761087 313062928
214824842 124720875 214824842 454124256
575750953 737956618 767872054 737956618
856551146 24690611 856551146 199678375
207874059 306602274 702516918 306602274
141999269 932742099 249545415 932742099
954967718 112134102 954967718 112134138
376874896 24352694 376874896 150290628
743721293 44446727 743721389 44446727
552094756 684510252 561591659 684510252
978481769 344563437 978481769 344563440
895783545 175467001 895783545 477704456
962401675 329517887 962401675 329517965
774084735 160851263 988132540 160851263
96372792 427205540 96372792 758802735
286490857 414312544 286490860 414312544
186678135 482904901 293957201 482904901
779792636 106807357 779792636 609291181
399437314 992504171 444325436 992504171
674877681 858489337 674877707 858489337
255094852 892492034 777335588 892492034
652672738 131361838 994940698 131361838
967507080 777551006 967507174 777551006
319246225 625498214 319246225 691307582
692939860 906413515 692939860 906413520
8629549 198821541 8629549 587066770
971766114 246773178 971766114 629294655
306699952 629980693 825376278 629980693
173672364 815411097 852833373 815411097
578372732 309655384 777134772 309655384
226462478 838188405 226462478 887650485
8284263 534363803 429550104 534363803
191853917 244265834 209546047 244265834
493252517 218766832 857795646 218766832
170743417 28142029 425758645 28142029
205693926 198834601 205693926 993126446
440073078 620160706 440073078 620160793
568323146 878985313 568323146 878985401
789161764 740742577 895287137 740742577
106537052 884225900 106537052 981352199
811478686 843643980 811478686 843644006
349346728 970166275 926053384 970166275
202488475 240163980 202488475 240164009
954020753 900153187 954020756 900153187
84406636 972549492 84406649 972549492
757794914 544893707 853593150 544893707
585528868 98808895 865914849 98808895
285171099 572324125 285171137 572324125
135072541 419118608 135072541 419118707
21437714 372933261 21437714 993358849
757112485 911864681 757112485 911864702
925364843 376941479 925364890 376941479
856704115 216271180 856704115 258215744
934111363 142357804 934111424 142357804
772397773 750189919 772397773 994947593
928827878 601857292 928827878 634990607
166437559 758209921 166437624 758209921
259536170 93440853 485963305 93440853
739878242 761375638 739878242 975395692
177424352 264605954 177424403 264605954
697958042 509253009 831040413 509253009
323396528 270018999 323396570 270018999
862748586 375189380 862748627 375189380
928973364 549915874 928973364 769537371
353636995 744301834 353636995 744301927
142705650 723388 142705690 723388
92049070 825428519 92049070 825428542
128063647 656089495 128063647 656089517
883284321 100245321 883284321 225082619
885891657 443413399 913923255 443413399
374585722 135660032 374585722 334346486
210577387 147033559 937941119 147033559
303317214 382477571 303317214 864566663
993367558 267712621 993367558 454893872
916831592 33231601 916831592 341026992
4770684 133536514 4770684 396692707
477081799 935007731 477081799 935007736
26572022 148663158 26572022 148663214
416203970 47958244 416203970 75479104
693909384 283069680 983297063 283069680
399036668 661193756 399036668 782126350
363572908 302162900 363572991 302162900
699105326 17043259 699105326 92588577
719999035 674324732 719999081 674324732
313187802 952374974 692791427 952374974
631278089 86089837 631278089 853871188
538067690 260323809 538067690 770018617
396448291 448161953 396448291 894750303
184943753 845972290 184943753 909819468
937290269 867251891 937290336 867251891
10600097 104479278 10600097 104479334
672557291 150453865 672557291 789992429
252916019 352123975 464594504 352123975
678194416 549855213 678194465 549855213
17037336 359275827 677701800 359275827
86372481 725836933 88912313 725836933
233818635 40921347 334378843 40921347
251138703 416066272 251138734 416066272
834857094 95353162 834857094 665215731
959756619 423094833 959756619 423094857
748274162 28521102 748274162 906505595
301624819 349435122 399528760 349435122
917630406 492233500 999152705 492233500
670622825 122199699 670622825 355661339
220025136 460896063 810719830 460896063
581495864 109760515 581495912 109760515
197733125 78447593 197733125 78447596
517946386 19268120 517946386 190223410
941579245 894743689 941579263 894743689
58671159 461127003 58671159 696730969
618841215 220497413 872763672 220497413
103484749 423688191 502656076 423688191
26778071 144493071 26778071 144493105
33166695 430306845 33166695 969529202
769900726 535242427 769900726 722177730
271414367 63851066 271414367 917762057
519616842 430052644 604669606 430052644
898150259 73394560 898150265 73394560
737974892 562358625 737974892 712481382
929709586 334448933 929709594 334448933
195614161 19872298 195614161 684898951
571735200 233623433 571735229 233623433
579014157 83725417 579014157 347184599
467360106 289722632 467360106 289722633
173338105 247642517 173338105 722703680
184286751 548140654 554235551 548140654
306910410 927315025 306910410 970550333
250521031 175583274 374684234 175583274
5672393 768062034 756132562 768062034
290870147 185151944 739318776 185151944
521395189 207511849 910462137 207511849
130199702 245961737 549126683 245961737
529819548 153641191 529819548 233951420
595184430 473477501 595184430 473477522
159946520 564133690 159946520 876125474
762676186 280398052 762676201 280398052
262179470 14713923 415473211 14713923
448909664 759554194 548359418 759554194
209336687 568825789 209336687 568825825
289675044 248199139 289675044 637125882
54862134 399130447 320933314 399130447
874843108 443001152 874843108 443001170
5788765 491981190 41186336 491981190
541126817 405473129 541126817 517260154
615090296 249707338 615090368 249707338
828568007 246269547 828568079 246269547
267344219 928593261 267344219 928593267
238875836 92974884 238875836 609102427
97935618 201324681 551096667 201324681
172239910 820961220 172239910 820961237
563835227 133624003 730472676 133624003
543988404 793268944 543988404 977433460
624601554 610838702 674728419 610838702
592761158 822344328 592761158 953527460
560552390 138015530 560552390 657858146
101372109 334183246 101372109 573464958
204440643 690176034 697787117 690176034
176903424 305796311 176903424 394150876
33692976 349684557 899528701 349684557
807193952 129670258 807193952 361387086
332712016 636204260 332712036 636204260
596383749 315052365 596383812 315052365
986440161 405524937 986440182 405524937
347167006 456719446 347167027 456719446
659328733 182780235 659328733 670562898
72286898 323944261 72286898 323944317
297955709 57045023 876353491 57045023
586635215 145452408 813064823 145452408
802298607 733142136 802298607 733142153
347659915 881957252 675088799 881957252
693532137 446813464 693532146 446813464
478773991 187097154 478773991 188554015
83954341 843700772 83954435 843700772
776357720 248473479 776357720 590628024
415591533 224983528 415591558 224983528
436044508 104514300 436044508 955683787
55991693 142139139 55991693 612591136
872008759 797044789 872008759 797044801
68715252 534383708 68715252 584476123
89986758 340182546 271760006 340182546
808769076 116592348 808769076 619316326
407248502 695764740 819507925 695764740
538752332 153194572 538752332 401160688
373167641 222113335 373167641 775377283
534317321 421008162 534317321 421008247
179404851 213271832 179404851 995938068
335507071 365620652 339232314 365620652
51207637 82367089 51207637 152945795
280295472 930551310 776561798 930551310
506731093 50009029 506731093 533615894
53832883 881845184 785534721 881845184
111700669 215511148 591977641 215511148
741818820 356460931 741818820 356460997
268470973 605928346 268470973 820242270
391933483 283950987 391933483 889026890
248528055 159140854 626629718 159140854
503938135 374152652 621190704 374152652
735445579 820418411 735445579 820418448
532833175 53593079 532833180 53593079
348366689 642906373 348366689 955196410
279871673 291033330 279871746 291033330
230058328 78461985 406593186 78461985
726042668 105342206 726042668 553219623
63321807 80010514 501635231 80010514
853948157 61171731 853948157 61171821
214400534 395545485 214400534 395545504
796096595 638695512 796096595 998742780
578309914 399058643 578309914 503270128
85665548 251912520 85665548 411594769
465499244 628084816 465499244 891727116
154472887 93373636 859542505 93373636
121073839 173461655 121073839 857934338
321303158 416861137 321303174 416861137
176285750 587391044 431764456 587391044
706010116 846575338 706010126 846575338
122876816 988948955 957178267 988948955
264039591 146588762 343037155 146588762
426862849 169997420 905982165 169997420
514523707 191196900 514523707 232059038
318256512 269254523 872118359 269254523
253028271 29549186 779981987 29549186
494412434 435073997 705077678 435073997
270186071 2838134 270186071 788089879
527814053 648847733 527814151 648847733
464386741 737593876 672773193 737593876
264320635 211672360 264320635 211672445
193203036 208615040 193203036 664803058
292461414 717634083 292461414 717634156
614593915 91674544 614593915 582187726
282181159 166635010 282181218 166635010
515429531 958441196 972742216 958441196
19614684 675170346 203772370 675170346
220696249 163240612 220696249 163240636
142564697 373388803 142564697 821694468
48938160 113691054 48938160 449263605
360534086 487257589 360534086 777983305
124739176 169787082 124739176 182136135
337937212 643638626 428906936 643638626
519076240 373378870 527579497 373378870
941312261 73238991 941312269 73238991
679322425 142105523 679322425 142105526
69634503 16186921 69634503 667551887
858739613 353088557 914264271 353088557
6076341 345248425 6076341 345248429
663220803 428078197 663220860 428078197
433105545 6837845 433105545 181277670
888327322 41835839 888327326 41835839
